gpt-4,Extraversion,3.5
gpt-4,Agreeableness,4.555555555555555
gpt-4,Conscientiousness,4.555555555555555
gpt-4,Neuroticism,2.5
gpt-4,Openness,3.4
chatgpt,Extraversion,3.0
chatgpt,Agreeableness,3.2222222222222223
chatgpt,Conscientiousness,3.2222222222222223
chatgpt,Neuroticism,2.875
chatgpt,Openness,3.2
llama3-8b,Extraversion,3.0
llama3-8b,Agreeableness,3.5555555555555554
llama3-8b,Conscientiousness,3.4444444444444446
llama3-8b,Neuroticism,3.0
llama3-8b,Openness,3.1
llama3-70b,Extraversion,3.0
llama3-70b,Agreeableness,4.888888888888889
llama3-70b,Conscientiousness,4.777777777777778
llama3-70b,Neuroticism,1.5
llama3-70b,Openness,3.7
mixtral,Extraversion,2.142857142857143
mixtral,Agreeableness,4.555555555555555
mixtral,Conscientiousness,4.875
mixtral,Neuroticism,1.8571428571428572
mixtral,Openness,3.3333333333333335
mistral-7b,Extraversion,3.0
mistral-7b,Agreeableness,3.3333333333333335
mistral-7b,Conscientiousness,3.4444444444444446
mistral-7b,Neuroticism,3.0
mistral-7b,Openness,3.1
mixtral-large,Extraversion,4.25
mixtral-large,Agreeableness,4.555555555555555
mixtral-large,Conscientiousness,4.555555555555555
mixtral-large,Neuroticism,1.25
mixtral-large,Openness,4.0
glm4,Extraversion,3.125
glm4,Agreeableness,4.0
glm4,Conscientiousness,4.111111111111111
glm4,Neuroticism,2.25
glm4,Openness,3.8
qwen-turbo,Extraversion,3.3333333333333335
qwen-turbo,Agreeableness,4.555555555555555
qwen-turbo,Conscientiousness,4.0
qwen-turbo,Neuroticism,2.142857142857143
qwen-turbo,Openness,4.0
